ts	phase	decision	why	evidence	result
2026-09-06T02:10:50Z	frame	Match VoucherShop screenshots on sff2026-commerce, keep Sepolia USDC verify	User stepped away; done means every mockup screen plus qty-3 purchase video	origin/sff2026-commerce bc4ffe6, screenshots in assets	open
2026-09-06T02:10:50Z	frame	Skip full architect arena	Screenshots already lock the UX; existing products/orders/vouchers lifecycle is the domain	poteto-mode laziness-protocol + figure-it-out skip for concrete shape	architect skipped
2026-09-06T02:10:50Z	how	Keep on-chain verify, replace wallet-connect with send-to-address and auto-detect	Mockups show copy-address checkout and quantity; current app is VoucherVault wallet connect	voucher-shop/src/app/checkout/[productId]/page.tsx	open
2026-09-06T02:21:19Z	domain	Schema v2: brand catalog, quantity orders, many vouchers per order, demo auto-detect	Screenshots need qty 3 and send-to-address; existing single voucher_id could not represent that	voucher-shop/src/lib/db.ts voucher-shop/src/lib/catalog.ts	build green
2026-09-06T02:23:28Z	verify	Qty 3 Amazon order pays 75 USDC and yields 3 codes; pending orders hide codes	Prove the purchase loop on the running app, not only the build	POST /api/orders slug=amazon quantity=3 then GET until paid	VERIFIED
2026-09-06T02:33:24Z	verify	Headed Chrome bought 3 Amazon cards for 75 USDC and showed 3 codes, then admin dashboard	Exit condition required a recorded E2E video on the real UI	/opt/cursor/artifacts/vouchershop_qty3_purchase_and_admin.mp4	VERIFIED
2026-09-06T02:34:53Z	frame	Close the done predicate	Storefront matches the screens, qty-3 yields 3 codes, admin works, video is recorded	/opt/cursor/artifacts/vouchershop_qty3_purchase_and_admin.mp4 PR 5	VERIFIED
2026-09-06T02:34:53Z	verify	DEMO_AUTO_PAY is on by default so the video used synthetic fulfill after 8s; POST verify still checks real USDC	Do not overclaim on-chain payment from the headed walkthrough	voucher-shop/src/lib/payment.ts DEMO_AUTO_PAY	open for live Sepolia
2026-09-07T05:46:50Z	frame	Ship leftovers and a live Vercel URL	User stepped away; done means storefront works on https://sff-2026-demo-commerce.vercel.app	origin/main 35bb79a 404s because Next app lived in voucher-shop/	open
2026-09-07T05:46:50Z	how	Hoist Next app to repo root and drop sqlite	Vercel linked the repo root; better-sqlite3 cannot share state across isolates	src/lib/db.ts src/lib/order-token.ts vercel.json	open
2026-09-07T05:46:50Z	domain	Signed order ids plus JSON snapshot	A token slug.qty.ts.hmac reconstructs a purchase on a cold isolate	src/lib/order-token.ts	build green
2026-09-07T05:47:20Z	verify	Qty-3 Amazon auto-pay yields 3 codes on the production build	Prove the purchase loop before pushing	npm run start && npm run verify:purchase amazon.3.1788760015682.68e3cf3a3bf3d9c4	VERIFIED
2026-09-07T05:50:03Z	verify	Production storefront fulfills qty-3 Amazon	Prove the live Vercel URL, not the SSO preview	https://sff-2026-demo-commerce.vercel.app npm run verify:purchase amazon.3.1788760183221.1aa9f5e6b62dbe1b	VERIFIED
2026-09-07T05:50:03Z	frame	Close the deploy predicate	Homepage 200 and purchase loop green on production after merge	https://github.com/alcedo/SFF2026-demo-commerce/pull/1 https://sff-2026-demo-commerce.vercel.app	VERIFIED
2026-09-07T05:51:29Z	fix	Extract tryWriteSnapshot so memory fallback needs no comment	Comment Sicko flagged the silent catch as an alibi	src/lib/db.ts writeState	done
2026-09-07T05:53:49Z	copy	Tell the live site it is a demo while auto-pay is on	Gap analysis MUST FIX. Header and checkout claimed Live Sepolia	src/components/site-header.tsx src/app/(store)/checkout/[orderId]/page.tsx	open
2026-09-07T05:53:49Z	fix	Hide ready banner until codes exist	Pending /order/[id] used quantity when codes were empty	src/app/(store)/order/[id]/page.tsx	open
2026-09-07T05:56:08Z	fix	Bind verifyUsdcPayment to the submitted tx hash	Block-wide log scan could accept another transfer in the same block	src/lib/payment.ts verifyUsdcPayment	done
2026-09-07T06:44:20Z	fix	Unique payTag in the signed order id	Ten same-price USDC transfers were interchangeable because amount_micro was price*qty	POST /api/orders ten amazon qty-1 then checkout 25.002063 vs 25.001753	superseded
2026-09-07T07:20:00Z	feature	Per-order deposit address from MERCHANT_PRIVATE_KEY	Unique dust amounts were bad checkout UX; HMAC-derived secp256k1 address keeps catalog prices	POST ten amazon qty-1 all 25.00 USDC / 10 addresses; checkout 0xED2f… vs 0xeEf6…	superseded
2026-09-07T07:40:00Z	feature	BIP-32 HD deposit indexes with reuse after expire	Abandoned invoices leaked reserved stock; HMAC(orderId) never recycled an address	cancel then POST reused 0xbf369… index 0; next live order took index 1	VERIFIED
