ts	phase	decision	why	evidence	result
2026-09-07T14:55:17Z	frame	Done means a Vercel Preview checkout pays with a real Sepolia USDC transfer	User set DEMO_AUTO_PAY and NEXT_PUBLIC_DEMO_AUTO_PAY to 0; demo digest is not a pass	README.md src/lib/payment.ts src/lib/public-flags.ts	open
2026-09-07T14:55:17Z	frame	Skip architect arena; checkout and HD invoices already exist	Shape is concrete; job is deploy plus live pay, not a new design	src/lib/order-deposit.ts src/app/(store)/checkout/[orderId]/page.tsx	architect skipped
2026-09-07T14:55:17Z	how	How payment works: HD deposit, poll Transfer logs, fulfill, demo path is sha256 demo:orderId	Need a checkable skip for fake pay before driving Preview	src/lib/payment.ts detectAndFulfill demoTxHash	grounded
2026-09-07T14:57:46Z	probe	Production header is Live Sepolia; Neon Preview header is still Demo	NEXT_PUBLIC is baked at build; neon Preview dpl_4f1Qsop6 predates the 0 flags; production is main without Neon	https://sff-2026-demo-commerce.vercel.app Live; https://sff-2026-demo-commerce-eizsqfrg9-verceluser3.vercel.app Demo health neon merchantKey env	NOT VERIFIED live pay
2026-09-07T14:57:46Z	design	Redeploy Neon code as a new Preview so the 0 flags bake in, then pay with Sepolia USDC	User asked for Preview; production JSON store cannot share orders across isolates	base cursor/neon-postgres-5893 branch cursor/live-sepolia-preview-2b4d	open
2026-09-07T15:00:35Z	fund	Buyer already has 0.1 ETH and 40 Sepolia USDC	Skip faucets; 0.025 USDC Amazon is covered	0xE432A39eA2303dD8DD71C4afEc65AFa904AfB6Cb block 11654904	VERIFIED funded
2026-09-07T15:01:20Z	deploy	Pushed Preview dpl_H6UizCix345rBsd8xkG6gmznanTr for live Sepolia check	Need a rebuild so NEXT_PUBLIC_DEMO_AUTO_PAY=0 is in the client bundle	https://github.com/alcedo/SFF2026-demo-commerce/pull/12 https://sff-2026-demo-commerce-wavsmjkse-verceluser3.vercel.app	BUILDING
2026-09-07T15:16:23Z	pay	Sent 0.025 Sepolia USDC to invoice 0x2910180B4fb116f1b8301cdb476116AF7BB47a2e	Checkout fetch 302s under share JWT so pay first then server-render detectAndFulfill	tx 0xa5a5b527b184079683b5262482ee17403fb69dfeaaf84222b071022dd0af4c19 block 11654976 deposit 0 to 25000	VERIFIED on-chain Transfer
2026-09-07T15:16:23Z	loop	Checkout success order pages now server-render and reload instead of fetch /api/orders	Share JWT authenticates document GET but client fetch 302s to SSO	src/app/(store)/checkout/[orderId]/page.tsx loadPublicOrder	NOT VERIFIED until Preview rebuild shows paid codes
2026-09-07T15:21:25Z	loop	Drop detectAndFulfill from HTML renders. Poll POST /api/orders/:id instead	Document GET of checkout hung on Sepolia getLogs. Share JWT already allowed POST /api/orders	src/app/api/orders/[id]/route.ts POST checkout-view.tsx	NOT VERIFIED until next Preview
2026-09-07T15:28:02Z	loop	Fallback Sepolia RPCs, chunk getLogs, one in-flight checkout POST	Detect POSTs never returned. Publicnode wide getLogs hung the function. Local one-block getLogs is 124ms	src/lib/payment.ts fallback chunk checkout-view inflight	NOT VERIFIED until next Preview
2026-09-07T15:38:19Z	loop	Race Sepolia RPCs in parallel and decode Transfer from the receipt	Verify POST hung past MCP timeout. Local receipt is 32ms. Serial viem fallback plus a second getLogs is the hang on Vercel.	src/lib/sepolia-rpc.ts src/lib/payment.ts src/lib/usdc-log.ts	NOT VERIFIED until next Preview fulfills
2026-09-07T15:49:56Z	loop	First Preview order revealed BA42-2046-5323-7D94 with on-chain tx 0xa5a5b527 not demo digest	Verify on 5ad3660 returned in 580ms. Success HTML has full hash. Second invoice was expired after empty Promise.any getLogs.	/opt/cursor/artifacts/screenshots/live-order-reveal.png .audit/live-pay.json .audit/live-pay-2.json	partial VERIFIED first order UI; second invoice expired pending resurrect
